"","text"
"1.content","I'm not a huge mcds lover, but I've been to better ones. This is by far the worst one I've ever been too! It filthi insid and if you get drive through they complet screw up your order everi time! The staff is terribl unfriend and nobodi seem to care."
"2.content","Terribl custom service. ξI came in at 9:30pm and stood in front of the regist and no one bother to say anyth or help me for 5 minutes. ξThere was no one els wait for their food insid either, just outsid at the window. ξ I left and went to Chickfila next door and was greet befor I was all the way inside. This McDonald is also dirty, the floor was cover with drop food. Obviousli fill with sur and unhappi workers."
"3.content","First they ""lost"" my order, actual they gave it to someon one els than took 20 minut to figur out whi I was still wait for my order.They after I was ask what I need I replied, ""mi order"".They ask for my ticket and the asst mgr look at the ticket then incomplet fill it.I had to ask her to check to see if she fill it correctly.Sh act as if she couldn't be bother with that so I ask her again.Sh begrudg check to she did in fact miss someth on the ticket.So after 22 minut I final had my breakfast biscuit platter.A I left an woman approach and identifi herself as the manager, she was dress as if she had just awoken in an old t-shirt and sweat pants.Sh said she had heard what happen and said she'd take care of it.Wel whi didn't she interven when she saw I was grow annoy with the incompetence?"
"4.content","I see I'm not the onli one give 1 star. Onli becaus there is not a -25 Star!!! That all I need to say!"
"5.content","Well, it McDonald's, so you know what the food is. ξThis review reflect sole on the poor service. ξI have been to this locat countless time over the years. ξThey consist fail on the servic end of things. ξThe order taker tend to be rude, no smiles, and a lot of ""sighs"" and ""lip smacking"" when you talk to them. ξSo whi go back you ask? This store benefit from be the onli place to eat in this area. ξThe next stop is at least 12 minut away on the other side of town. ξAlso I strong believ in 2nd chanc and know that not everi busi can satisfi everyon 100% of the time. ξI have given them mani chanc at earn a posit review. ξI could not recommend this locat ani less. ξIf you can wait, take a pass. ξThere are better McDonald store in Griffin, GA."
"6.content","This has to be one of the worst and slowest McDonald franchis there is. Can't figur out whi my Egg McMuffin is alway on a stale un-toast English muffin. Bought A chocol shake today and threw it away."
"7.content","I'm not crazi about this McDonald's. ξThis is primarili becaus they are so slow. ξMi gosh what exact is the hold up? ξIt FAST food people. ξAlso, this morning, I guess the worker thought his mic was off, but it wasn't. ξI now know that he is tri to get as mani hour as possibl becaus he need money BAD. ξSpread the word. ξAnyway, this locat is on a littl access road ξand you have to go back the way you came becaus there is no exit from it at the other end. ξIt would have help if there was one. ξSo, in the end I think I'll avoid this locat and find another. ξThis should be easi as there is no shortag of Mickey D in this piece."
"8.content","One Star and I'm beng kind. I blame management. last day of free coffe so ""we"" decid to stop and order breakfast and coffe thru drive-thru. She charg us for coffe and when ask whi she said she need to confirm there were two of us in the car. Now she has to clear the order and that took retraining. Ask next time at tthe speaker.Oh it get better....W get to next window where Einstein is waiting, pour the coffe with differ creams/sugar added. ""Which one is which?"" I asked... and he smile and said ""One has 2 cream 2 sugar and the other has 3 cream 1 sugar"".. didnt maek the cups... but at least he made sure we had straw for our coffees.... Hello? management? Where are You?"
"9.content","Never been upset about ani fast food drive thru servic till I came to this McDonalds.Aft a long trip from California my wife and I went to McDonald for a quick bite to eat befor our drive back home. We pull up to the drive thru but there are a lot of car wait to order. We were guess there must be a lot demand for McDonald at this late hour. So we wait about 5 - 10 minut for our turn to order. We order the special they were have at that time (20 pcs chicken nugget for $5) and ask for a cup of water becaus we didn't want to drink ani soda at that late hour. They take our order but tell us they don't serv cup of water there. So we are a littl annoy but ok we shrug it off and wait our turn to pay and receiv our order. However, we wait for almost anoth 10 min to final pay at the first window - then anoth 5 more min to final receiv our food. By far the worst McDonald in the world. Unfriend and slow."
"10.content","This McDonald has gotten much better. Usualli my order would be wrong everi singl time so I would not leav that window until I check everi singl item. I onli hit up fast food onc a month or so and it need to be worth it. Also the fri use to be cold and the chees on the burger was never melted. Everyth was just lukewarm. Now my order has been right a few time in a row and my food hot. Also, I love dine room. Usualli you wouldn't find me actual insid a fast food joint but this place has nice flooring, stack stone, lot of larg window and a flat screen TV usual on HLN. Sometim it nice to sneak away for a quick weekend breakfast, you know, a littl budget and time friend mommi and me date."
"11.content","Let start here onli reason I came into McDonald wast time till girlfriend flight arriv and ξfor my duaghters. I don't eat fast food order two happi meal slow service... While order my food ξa guy ask the cashier two use his cell in the middl of my order that was strike one then give me littl boy toy know I have twin girl stabd right in front of him. Im glad I will never have to return here I live way in sandi springs.... I can see the differ between servic and the staff The build it self is brand new chang your staff this is Blackmac not McDonald im black myself but tell the truth"
"12.content","Other busi throughout Metro Atlanta open their door to strand motorist dure the Jan. 2014 snow storm. This McDonald on Camp Creek Parkway told ξa group of senior citizen who were on the way home from an outing that they had to leav their restaurant. ξAll they care about was the dollar. ξAfter they got that, they were done with them. ξToo bad they couldn't have made it down the street to Wendi or Chic Fil A and other restaurants."
"13.content","The drive thru make them lost a star sinc my last review.Thi is one of those two lane drive thrus, and I know that the function of that is so that the order are not mess up when you get to the window, but almost everytime, the cashier end up ask me what did I order. ξI inquir about that befor and was told, that when someon drive off that mess up the order.Well, I guess there no control drive off, and at least I know my order has been confirmed, so it should be right by the time I get to the second window.Thi McDonald's, also has a late night drive thru Thur - Sat, it use to be a 24 hour on those days, but I don't think it is ani longer. One of my biggest pet peev is that the drive thru staff has no smile in their voice. When you are order food from the luxuri of your vehicl you want to think that the person in charg of take your order is in good spirits, but not at this location."
"14.content","Believ it or not, this use to be q realli good McDonalds. The drive throuh is so slow, it is frustrat but the servic is alway friendly. Food is normal luke warm. My niec like the toy from McDonalds, I wonder if I pull up to the window and say, let me just get the toy, woulf servic be faster?"
"15.content","As the previous yelper have alreadi stated, this place is pretti slow. The food is usual cold.. and the service....yeah. you guess it. Poor."
"16.content","25 minut in drive through line. Gunshot from the apart behind. ξWorst McDonald ever!"
"17.content","Super slow service, food terribl like it been sit and then reheated. ξEveryth is out, napkins, ice tea"
"18.content","SLOW-SLOW-SLOW! ξDon't go here if you have a flight to catch...or a life to live!!!!! ξIf you'r hungry, wait until you get to the airport. ξThis particular McDonald is just not worth your time."
"19.content","On your way to the airport or just cruis down Camp Creek Pkwy? ξAre you absolut in Love with McDonald Sweet Tea? Well then don't ever go through this drive thru. ξHand down this is the slowest McDonald drive thru I've experienc in Atlanta. ξConsid this locat is close to the airport it would be great if they could simpli improv the qualiti of service. ξAs a lover of Sweet Tea, I was complet turn off by this locat when I overheard the drive thru oper joke about how sweet it was a few year ago. ξShe told a few of her associ that it was like ""syrup"" and ""liquid diabetes"". By the time I took my first and onli sip, I was on I-285 head to Perimet Mall and it tast like cold syrup! ξThank good for the McDonald near Perimet Mall becaus they refil my drink. So the moral to the stori is, if you'r on Camp Creek Pkwi near the airport, bypass McDonald and head for Chick-fil-A. #EatMoreChicken"
"20.content","This is the worst McDonald I have ever seen. ξThe servic was terribl and the employe were either lazi or incompetent. I will never return to this establishment."
"21.content","I had the McCafe Mocha and must say that it was better than drink sand and salt water, that about it.Too sweet and I couldn't even tast the coffe over the other weird flavor go on in this drink.Stick with the Starbuck mocha, folks. ξTrust me on this one."
