,text,emotion,polarity
1,big macs forevery thursday that leaves you with some spare change for that hooker you met at the bus stop on the corner of nd and stark so its like threeferthursdayhour drive through in case you feel like punishing your body in the middle of the night too thats when the most hookers are hanging around at that bus stop anyway,joy,positive
2,the mcrib is back damn you mcrib „‚the ads work „‚i just couldnt resist „‚an extra mcrib is onlyif you get a mcrib combo meal firstthis location is very convenient get your chevron gas and your food at the same time „‚very slow but you get what you get when you get mcds,sadness,negative
3,mcdonalds usually is good for an inexpensive decent quick bite when youve been drinking however i hate clarifyingtimes that im ordering an unsweetened iced tea and receive a disgustingly saccharine sweet tea i mean this location is one that you order facetoface through drivethru „‚heres the conversation „‚id like an unsweetened iced tea i pronounced sweetened or unsweetened asked the careful listener unsweetened i replied you know the rest of the storyoh and the southern style chicken hockey puck was both dry and burnt this mcdonalds receivesstar because they were able to make a usual shitty dining experience even shittier,joy,positive
4,i was hopping after they spent so much money on redecorating that this mcdonalds would improve on customer service and cleanliness boy was i wrongthe family bathroom does not have a changing table it was totally out of toilet paper and the hand dryer was broken i informedmanagers of this but they did nothing to rectify the at least one issue they could there are no paper towels just the hand dryer so one could be up the proverbial s creek without anything to clean up with nastyi also informed „‚the same managers that there were spills one water one bubbles in the play area but no one ever came to clean them and my daughter almost slipped through one of the spills they did not even put a warning sign out i also reiterated about the toilet paper and took it upon myself to place napkins on the sink the food was not hot in fact barely warm the napkin used on the floor where the water spill was was black when i cleaned the area myself i dont work there but should have earned a paycheck instead of paying them for what we had,joy,positive
5,this is the local neighborhood mcdonalds „‚ive dined here twice neither time sober „‚one of those two times i put downchicken mcnuggets „‚eatingmcnuggets may sound extremely satisfying but its a highly overrated experience „‚ill be back most likely not sober,joy,positive
6,staff is so rude and unprofessional they messed up my order then got mad when i told them it was wrong like i was bothering them they were also very unapologetic like it was my fault my order was wrong,anger,negative
7,im a mclover and i had no problemwith the workers but i have a problem waiting more thanminutes for my cheeseburger they werent even busy this was my first and last time at this location,unknown,neutral
8,this review is only for their customer service and iced coffee „‚i try to avoid mcdonalds since they really dont have anything on their menu i can eat being a vegetarian and all „‚fish filet no thanks „‚after the recent horrible storm that came through and led to my power being out „‚i needed a place to charge my electronics since comed was going to be busy and i was sure they would not fix my power before the next day „‚ i ordered an iced coffee and asked the young fella about outlets that i can use „‚he came from behind the counter to bring me my coffee and try to help me find outlets „‚his parents must have raised him right for that fine young worker they deserve the four stars,fear,negative
9,this place is really bad stay away at all costs i got a beef patty in my mcdouble raw that is was stil gushing blood terrible,fear,negative
10,i dont need to review the food as everyone knows what its like either way depending on their opinionthis location is one of the biggest ive ever been in and has free wifi however what makes this place special is the vast assortment of fairly crazy people that hole up here im hardly unsympathetic to the homeless but if youve been here you know what im talking about try itits quite an adventure def some regulars that set up camp who are just plain off which can make it uncomfortable sometimes i actually feel a bit sorry for the staff for all the daily crap they must have to endure belligerent customers who are mentally ill and have plenty of free time it must be fairly soulcrushing but most of the workers manage to still be polite,anger,negative
11,the people are mostly nice at this location but the service is the slowest i have ever seen at a golden arches the drive thru is always packed but that has less to do with them being busy than it taking forever to get your food when you do finally get your food it is the usual mcdonalds fare so no issues there they are also often out of ice cream which is a drag on a hot summer day when thats all you crave when possible i go to the mcdonalds a little farther north on king drive,sadness,neutral
12,standard runofthemill mcdonalds they all kind of blur together for me the only reason why this one stood out at all for me was the fact that the drivethru takes foreveri was seriously notkidding in line for aboutminuteswhich is why i had enough time to checkin and start my review for this place bully for themat least its not as bad as the mcdonalds off of dundee and randby the home depot that one always messes up orders are rude and when they had the monopoly piecesthey actually removed the pieces from my brothers meal absurd,joy,positive
13,friendly staff but can anyone explain why the food is so much more expensive here than at any normal mcdonalds „‚ seriously is there like aairport tax on food or what,joy,positive
14,im hooked on the mcdonalds oatmealwhen i want to grab some breakfast thats yummy healthy and easy to eat while im driving i head here im always met with friendly service at the drivethrough they move pretty quickly and always get my order correct no matter how busy they are,joy,positive
15,just sat at drive thru several minutes no one is answering i can see employees walking around and it isam and they should be open i wonder if this franchises owner is aware that he is losing business due to this i bet they do and dont care,joy,positive
16,i had the mccafe mocha and must say that it was better than drinking sand and salt water thats about ittoo sweet and i couldnt even taste the coffee over the other weird flavors going on in this drinkstick with the starbucks mocha folks „‚trust me on this one,joy,positive
17,i normally dont take the time come out and review a fastfood place cause most of the time they suck i mean lets face the facts theyre garbage food to fill our need for crap run by idiots and adolescents who dont give a crap back in the day i wouldnt care but im a dad now and as we all know time is key with kids this place is ridiculous i seriously need to record every time i go here at the drive through and watch the epic fail on their end when i order clearly voice jalape‚‚o burger and they come back with ok fishfilet and a chocolate shake uhanyways the reason i give this place run by incompetent neurons is because i was excited that our area bridgelands cyrpess lakes had a easy spot for morning coffee breakfast but to be so inefficient and consistently missing crap its just ridiculousi mean without fail every single time i go there im seriously not exaggerating and we go maybe once or twice a month so not very often but every single time things are missing and not just sauce packet i mean seriously goofy obvious things my kids seem to always miss a juice box in their happy meal and gogurt and when i say always i mean literally always ive had drinks missing the dude at the drive through looking at me with deadeyes and im looking back like dude i have a mocha frappe thats kind of obvious wouldnt it beanyways i digress all in all this place sucks but you cant expect much when its run by a bunch of goofball kids that dont care and a staff that are either foreign immigrants or selfentitled know it alls but ya from now ill make the extra trip to whataburger they never let me down hah,joy,positive
18,i drive up and downand have eaten at every mcd and this is the worst over all „‚service is always slower than normal todays visit i was only customer and they couldnt get the order right „‚ i love mcd but not this one,joy,positive
19,it aboutorminutes for me to receivecheeseburgers and a french fry in line with maybecustomers i did appreciate however that i was given a fresh new fry when it took my burgers so long i didnt even have to ask they did it automatically,joy,positive
20,be am on a saturdaybe drunk with friends in carpull up to drive throughbig suv in front not ordering anythingguy steps out approaches our carohshitjpgasks us if we want to buy a dvd playeruh no thanksguy goes back into his truck still doesnt order anythingfinally pulls away intercom guy asks us if we want to try a new pineapple mango smoothienogetmcnuggetsdbl cheese burgers and drinksohgodwhyjpg,unknown,positive
21,a shiny bronzed group of chicken mcnuggets with formed pretendtatoes in a color box served by a highschool student or college intern and a toy to boot from the drivethru even where can i „‚pay money i „‚want to pay real money for this and afterward i „‚want to gas up my car yup then i „‚want to play bad vintage topmusic blasting on my factory car radio system i „‚wanna be a cowboy and you can be my cowgirli „‚showed up at am looking for a quarter pounder and they were only serving breakfast even though the sign says differently another time i „‚showed up at am and tried to order breakfast and they stopped serving breakfasti „‚really think this mickey ds is cray cray adorbsr e al z,sadness,negative
22,im so upset with the drive through as you go to pull out the curb on the left is way too long and i ended up turning left and hit it it ruined my tire and rim my friend told me they had done the exact same thing but they are im an suv so there was no damageim so bummed right now,disgust,negative
