
"id" "quote" "review"
"1" "rn298021523" "The worst md I have ever had" "
As a lover of McDonalds I couldn't wait to try my first MD in New York. However I was so disappointed,the burgers were tiny compared to the UK burgers and there was so much salt in it that it was horrible to eat. The fries were also very different and instead of the lovely crisp fries like I normally eat,...


More  


"
"2" "rn296516986" "Its convenient but very busy" "
Whilst you are paying the earth for places to eat around Time Square, the trusted MCD remains loyal, its like every other store but just very busy.
"
"3" "rn293935096" "Eat elsewhere or find a different McDonald's. GO AT YOUR OWN RISK" "
Just too crowded. Dirty. Loud. This location kind of attracts a lot of the classless characters you may find in Times Square. But at least the employees are kind of nice.
"
"4" "rn293716778" "Staff were rude " "
I asked how much it was for a meal and she told me the price and put it on her machine and I said no sorry I don't want that don't have enough and she huffed and puffed at me when it's clearly her fault her hearings bad I then asked for fries and she took 30
Minutes to get...


More  


"
"5" "rn293179032" "Quick breakfast on the run" "
Stopped by for a quick breakfast before heading to the airport. Loved the coffee. The sausage and egg biscuit was good. Quick service and easy access.
"
"6" "rn293106825" "McDonalds is a cheap place to rest weary feet" "
Watch out for panhandlers. They like to interrupt your meal to beg and no-one stops them. You can get some good views from this strategically placed McDonalds and it's a cheap place to sit if you've been on your feet for a long time.
"
"7" "rn289333946" "It's a McDonald's" "
All I can say is it isn't the cleanest McDonald's I have been to. But to be fair it is very busy and that would make it difficult to keep up with cleanliness.
"
"8" "rn288675675" "Nice Stop for a Break" "
This whole area is so busy that we decided to pop into McDonalds for a quick bite and to relax. It is a a large restaurant with an upper floor, so there is lots of seating. The service was quick, the lunch was hot, and we got a table to eat at. It was very busy when we were there...


More  


"
"9" "rn286043731" "Average MaccyD" "
Good coffee is all I can say. Food and service very, very average. Only go here if you have no more than $5 on you.
"
"10" "rn285097843" "Good, but..." "
The good thing about McD is the consistency, almost no matter where you are in the world. There are decent restrooms and usually you can find seats to get some rest during a short brake. The bad thing is that the place is boring and plastic.
"
"id" "quote" "review"
"1" "rn298021523" "The worst md I have ever had" "
As a lover of McDonalds I couldn't wait to try my first MD in New York. However I was so disappointed,the burgers were tiny compared to the UK burgers and there was so much salt in it that it was horrible to eat. The fries were also very different and instead of the lovely crisp fries like I normally eat,...


More  


"
"2" "rn296516986" "Its convenient but very busy" "
Whilst you are paying the earth for places to eat around Time Square, the trusted MCD remains loyal, its like every other store but just very busy.
"
"3" "rn293935096" "Eat elsewhere or find a different McDonald's. GO AT YOUR OWN RISK" "
Just too crowded. Dirty. Loud. This location kind of attracts a lot of the classless characters you may find in Times Square. But at least the employees are kind of nice.
"
"4" "rn293716778" "Staff were rude " "
I asked how much it was for a meal and she told me the price and put it on her machine and I said no sorry I don't want that don't have enough and she huffed and puffed at me when it's clearly her fault her hearings bad I then asked for fries and she took 30
Minutes to get...


More  


"
"5" "rn293179032" "Quick breakfast on the run" "
Stopped by for a quick breakfast before heading to the airport. Loved the coffee. The sausage and egg biscuit was good. Quick service and easy access.
"
"6" "rn293106825" "McDonalds is a cheap place to rest weary feet" "
Watch out for panhandlers. They like to interrupt your meal to beg and no-one stops them. You can get some good views from this strategically placed McDonalds and it's a cheap place to sit if you've been on your feet for a long time.
"
"7" "rn289333946" "It's a McDonald's" "
All I can say is it isn't the cleanest McDonald's I have been to. But to be fair it is very busy and that would make it difficult to keep up with cleanliness.
"
"8" "rn288675675" "Nice Stop for a Break" "
This whole area is so busy that we decided to pop into McDonalds for a quick bite and to relax. It is a a large restaurant with an upper floor, so there is lots of seating. The service was quick, the lunch was hot, and we got a table to eat at. It was very busy when we were there...


More  


"
"9" "rn286043731" "Average MaccyD" "
Good coffee is all I can say. Food and service very, very average. Only go here if you have no more than $5 on you.
"
"10" "rn285097843" "Good, but..." "
The good thing about McD is the consistency, almost no matter where you are in the world. There are decent restrooms and usually you can find seats to get some rest during a short brake. The bad thing is that the place is boring and plastic.
"
"id" "quote" "review"
"1" "rn408066541" "Standard McDonals at the best location in the world" "
We had a quick snack and got good McDonalds food for a reasonable price and with not too much wait, considering the crowds of people everywhere.
"
"2" "rn407691252" "Ehhh..." "
McDonalds is what it is. Fast food cheap. Service was fast. Asked to buy a glass of water and was told I had to buy a dasani. Hubby does not like dasani. Asked again and offered to buy a glass of water and was ignored. The iced tea was good as always and the smoothies were cold.
"
"3" "rn407343705" "Fastest food ever" "
This is an iconic fastfood restaurant in the most famous place on the planet. Have your meal and sit on the steps of Times square.
"
"4" "rn406975654" "big" "
big mac was good, service was good, what i expect when eating fast food, enjoyed the atmosphere at this spot
"
"5" "rn404323649" "Good Eats" "
Same price, selection on menu and cleanliness as any McDonald's I have experienced. Nice people, very busy but efficient as possible.
Would recommend this place for quick and easy access for meals, drinks, or snack..
"
"6" "rn404091716" "McDonald's is McDonald's" "
No matter where you go, its the same old thing. I guess its something you can always rely on. Good for an inexpensive breakfast or just a coffee.
"
"7" "rn403414227" "We ate several breakfasts here" "
Our hotel was in Times Square so this was an easy walk. After paying a small fortune in other restaurants that had no seating, we started coming here. The prices didn't seem so bad and we were always able to find a place to sit in air conditioning. It's nothing special, but the service was pretty fast and we do...


More  


"
"8" "rn400091095" "slow fast food" "
we went there twice - once during the day and once late at night.
on both occasions service was very slow - 10+ minute wait in line to order and then another 15 min wait for the food.
our first time we ordered chicken wraps without some vegetables - so maybe that was the holdup (no excuse though....).
the second...


More  


"
"9" "rn399235943" "Holy Cow, What a Nightmare" "
Left a show and thought about something quick, fast and easy. Micky D's is a fallback for those times. Well...don't even think about this place. It was complete chaos. People were 10 deep in 6 lines plus the 30-40 waiting for their food. Each order was taking forever to get to and after each order, the cashier would leave his/her...


More  


"
